,BABA,MU US Equity,H
239,182.68,53.99,355.75
240,178.7,52.25,354.25
241,174.7,51.65,357.25
242,172.04,52.22,357.75
243,175.92,52.59,355.5
244,175.36,50.49,353.5
245,177.1,50.47,354.5
246,169.87,47.94,354.5
247,167.52,48.45,357
248,172.57,49.82,354.75
249,172.07,53.38,356.5
250,174.67,51.55,356.5
251,177.61,50.05,356.5
